plot,grid_cell,Species,Chamber size class,ID,timepoint,condition,collection_date,start_time,end_time,Rounded time,timezone,Temperature_F,Temperature_C,flux_CO2_ppm_ss,flux_CH4_ppb_s,flux_CO2_ppm_min,flux_CH4_ppm_min,notes,instrument,personnel,Length (cm),Width (cm),Height (cm),Surface Area (cm2),Volume (cm3),SA:Volume Ratio,Quantity,Surface Area of Tree Covered (cm2),Volume (L),Surface Area of Tree Covered (m2),flux_CO2_umol_m2_min,flux_CH4_nmol_m2_min,flux_CO2_umol_m2_min_MEAN,flux_CO2_umol_m2_min_SE,flux_CO2_umol_m2_min_SE1,flux_CO2_umol_m2_min_SE2,flux_CH4_nmol_m2_min_MEAN,flux_CH4_nmol_m2_min_SE,flux_CH4_nmol_m2_min_SE1,flux_CH4_nmol_m2_min_SE2,Note
Control,F5,Tulip Poplar,3,C2,T2,flooded,6/6/23,12:44,12:51,13:00,EDT,82,27.77777778,0.556,0.009,33.36,0.00054,,TG10-01286,"Cooper Norris, Kendal",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,67.54887697,1.093417073,,,,,,,,,
Control,F5,Tulip Poplar,3,C2,T3A,flooded,6/7/23,8:48,8:53,9:00,EDT,72,22.22222222,0.382,0.01,22.92,0.0006,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,47.28238033,1.237758647,,,,,,,,,
Control,F5,Tulip Poplar,3,C2,T3B,flooded,6/7/23,14:01,14:07,14:00,EDT,78,25.55555556,0.599,0.01,35.94,0.0006,,TG10-01286,"KAM, CGN",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,73.3143759,1.223946175,,,,,,,,,
Control,F5,Tulip Poplar,3,C2,T4,post-flood,6/8/23,14:12,14:17,14:00,EDT,79,26.11111111,0.558,0.009,33.48,0.00054,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,68.16940988,1.099506611,,,,,,,,,
Control,F5,Tulip Poplar,3,C2,T5,post-flood,6/9/23,12:03,12:08,12:00,EDT,74,23.33333333,0.506,0.009,30.36,0.00054,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,62.39587102,1.109807983,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T0,pre-flood,6/4/23,12:44,12:50,13:00,EDT,73,22.77777778,0.261,0,15.66,0,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,32.24485245,0,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T1,pre-flood,6/5/23,12:24,12:29,12:00,EDT,78,25.55555556,0.285,-0.004,17.1,-0.00024,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,34.882466,-0.48957847,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T2,flooded,6/6/23,12:05,12:10,12:00,EDT,80,26.66666667,0.272,0.001,16.32,0.00006,,TG10-01286,"Cooper Norris, Kendal",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,33.16795933,0.121941027,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T3A,flooded,6/7/23,8:31,8:36,9:00,EDT,72,22.22222222,0.263,0.001,15.78,0.00006,Data not plotting consistently,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,32.55305243,0.123775865,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T3B,flooded,6/7/23,13:27,13:32,13:00,EDT,78,25.55555556,0.27,0,16.2,0,,TG10-01286,"KAM, CGN",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,33.04654673,0,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T4,post-flood,6/8/23,14:38,14:43,15:00,EDT,76,24.44444444,0.28,-0.001,16.8,-0.00006,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,34.39844666,-0.122851595,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T5,post-flood,6/9/23,12:41,12:46,13:00,EDT,73,22.77777778,0.262,0,15.72,0,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,32.36839595,0,,,,,,,,,
Control,B3,Red Maple,3,C7,T0,pre-flood,6/4/23,15:11,15:16,15:00,EDT,76,24.44444444,0.486,-0.001,29.16,-0.00006,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,59.70587528,-0.122851595,,,,,,,,,
Control,B3,Red Maple,3,C7,T1,pre-flood,6/5/23,14:37,14:42,15:00,EDT,81,27.22222222,0.499,0,29.94,0,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,60.73602954,0,,,,,,,,,
Control,B3,Red Maple,3,C7,T2,flooded,6/6/23,14:05,14:11,14:00,EDT,82,27.77777778,0.49,0,29.4,0,,TG10-01286,"Cooper Norris, Kendal",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,59.5304851,0,,,,,,,,,
Control,B3,Red Maple,3,C7,T3A,flooded,6/7/23,10:12,10:17,10:00,EDT,74,23.33333333,0.416,0,24.96,0,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,51.2977912,0,,,,,,,,,
Control,B3,Red Maple,3,C7,T3B,flooded,6/7/23,15:17,15:22,15:00,EDT,79,26.11111111,0.482,0,28.92,0,,TG10-01286,"KAM, CGN",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,58.88468738,0,,,,,,,,,
Control,B3,Red Maple,3,C7,T4,post-flood,6/8/23,13:06,13:11,13:00,EDT,78,25.55555556,0.49,0,29.4,0,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,59.97336259,0,,,,,,,,,
Control,B3,Red Maple,3,C7,T5,post-flood,6/9/23,11:04,11:09,11:00,EDT,74,23.33333333,0.413,0,24.78,0,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,50.9278552,0,,,,,,,,,
Freshwater,F6,Red Maple,3,F11,T0,pre-flood,6/4/23,15:13,15:18,15:00,EDT,76,24.44444444,0.606,0.045,36.36,0.0027,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,74.4480667,5.528321785,,,,,,,,,
Freshwater,F6,Red Maple,3,F11,T1,pre-flood,6/5/23,14:52,14:57,15:00,EDT,81,27.22222222,0.593,0.041,35.58,0.00246,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,72.17728561,4.990335092,,,,,,,,,
Freshwater,F6,Red Maple,3,F11,T2,flooded,6/6/23,12:43,12:48,13:00,EDT,82,27.77777778,0.652,0.041,39.12,0.00246,,TG10-01448,"Kaizad Patel, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,79.21199242,4.981122223,,,,,,,,,
Freshwater,F6,Red Maple,3,F11,T3A,flooded,6/7/23,9:09,9:14,9:00,EDT,72,22.22222222,0.534,0.042,32.04,0.00252,,TG10-01448,"Kaizad Patel, Julia",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,66.09631178,5.198586319,,,,,,,,,
Freshwater,F6,Red Maple,3,F11,T3B,flooded,6/7/23,15:44,15:51,16:00,EDT,80,26.66666667,0.774,0.044,46.44,0.00264,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,94.38235485,5.365405186,,,,,,,,,
Freshwater,F6,Red Maple,3,F11,T4,post-flood,6/8/23,12:20,12:26,12:00,EDT,77,25,0.725,0.047,43.5,0.00282,,TG10-01455,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,88.90144345,5.763265989,,,,,,,,,
Freshwater,F6,Red Maple,3,F11,T5,post-flood,6/9/23,12:09,12:14,12:00,EDT,74,23.33333333,0.677,0.044,40.62,0.00264,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,83.48222269,5.425727915,,,,,,,,,
Freshwater,F2,Red Maple,3,F12,T0,pre-flood,6/4/23,13:06,13:11,13:00,EDT,73,22.77777778,0.498,0,29.88,0,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,61.524661,0,,,,,,,,,
Freshwater,F2,Red Maple,3,F12,T1,pre-flood,6/5/23,13:58,14:08,14:00,EDT,80,26.66666667,0.553,0,33.18,0,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,67.4333879,0,,,,,,,,,
Freshwater,F2,Red Maple,3,F12,T2,flooded,6/6/23,14:09,14:14,14:00,EDT,82,27.77777778,0.6,0.001,36,0.00006,,TG10-01448,"Kaizad Patel, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,72.89447155,0.121490786,,,,,,,,,
Freshwater,F2,Red Maple,3,F12,T3A,flooded,6/7/23,10:29,10:35,10:00,EDT,74,23.33333333,0.516,0.002,30.96,0.00012,,TG10-01448,"Kaizad Patel, Julia",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,63.62899101,0.246623996,,,,,,,,,
Freshwater,F2,Red Maple,3,F12,T3B,flooded,6/7/23,15:35,15:40,16:00,EDT,80,26.66666667,0.663,0.001,39.78,0.00006,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,80.84690086,0.121941027,,,,,,,,,
Freshwater,F2,Red Maple,3,F12,T4,post-flood,6/8/23,13:36,13:41,14:00,EDT,79,26.11111111,0.668,0,40.08,0,,TG10-01456,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,81.60782401,0,,,,,,,,,
Freshwater,F2,Red Maple,3,F12,T5,post-flood,6/9/23,10:47,10:52,11:00,EDT,74,23.33333333,0.506,0.001,30.36,0.00006,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,62.39587102,0.123311998,,,,,,,,,
Freshwater,D6,Beech,3,F13,T0,pre-flood,6/4/23,13:28,13:33,13:00,EDT,73,22.77777778,0.503,0.014,30.18,0.00084,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,62.14237848,1.729608944,,,,,,,,,
Freshwater,D6,Beech,3,F13,T1,pre-flood,6/5/23,12:55,13:00,13:00,EDT,78,25.55555556,0.534,0.017,32.04,0.00102,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,65.35872576,2.080708498,,,,,,,,,
Freshwater,D6,Beech,3,F13,T2,flooded,6/6/23,13:48,13:53,14:00,EDT,82,27.77777778,0.536,0.013,32.16,0.00078,,TG10-01448,"Kaizad Patel, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,65.11906125,1.579380217,,,,,,,,,
Freshwater,D6,Beech,3,F13,T3A,flooded,6/7/23,9:37,9:42,10:00,EDT,74,23.33333333,0.568,0.02,34.08,0.0012,,TG10-01448,"Kaizad Patel, Julia",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,70.0412149,2.466239961,,,,,,,,,
Freshwater,D6,Beech,3,F13,T3B,flooded,6/7/23,13:54,13:59,14:00,EDT,78,25.55555556,0.61,0.016,36.6,0.00096,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,74.6607167,1.958313881,,,,,,,,,
Freshwater,D6,Beech,3,F13,T4,post-flood,6/8/23,12:28,12:34,12:00,EDT,77,25,0.591,0.018,35.46,0.00108,,TG10-01460,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,72.47000425,2.207208251,,,,,,,,,
Freshwater,D6,Beech,3,F13,T5,post-flood,6/9/23,11:21,11:26,11:00,EDT,74,23.33333333,0.566,0.017,33.96,0.00102,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,69.79459091,2.096303967,,,,,,,,,
Freshwater,D7,Beech,3,F14,T0,pre-flood,6/4/23,15:21,15:26,15:00,EDT,76,24.44444444,0.301,0.004,18.06,0.00024,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,36.97833016,0.491406381,,,,,,,,,
Freshwater,D7,Beech,3,F14,T1,pre-flood,6/5/23,12:47,12:50,13:00,EDT,78,25.55555556,0.308,0.009,18.48,0.00054,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,37.6975422,1.101551558,,,,,,,,,
Freshwater,D7,Beech,3,F14,T2,flooded,6/6/23,12:22,12:27,12:00,EDT,82,27.77777778,0.392,0.007,23.52,0.00042,,TG10-01448,"Kaizad Patel, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,47.62438808,0.850435501,,,,,,,,,
Freshwater,D7,Beech,3,F14,T3A,flooded,6/7/23,10:18,10:25,10:00,EDT,74,23.33333333,0.317,0.005,19.02,0.0003,,TG10-01448,"Kaizad Patel, Julia",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,39.08990339,0.61655999,,,,,,,,,
Freshwater,D7,Beech,3,F14,T3B,flooded,6/7/23,13:28,13:35,13:00,EDT,78,25.55555556,0.306,0.004,18.36,0.00024,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,37.45275297,0.48957847,,,,,,,,,
Freshwater,D7,Beech,3,F14,T4,post-flood,6/8/23,14:30,14:35,15:00,EDT,76,24.44444444,0.332,0.009,19.92,0.00054,,TG10-01461,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,40.78672961,1.105664357,,,,,,,,,
Freshwater,D7,Beech,3,F14,T5,post-flood,6/9/23,11:35,11:42,12:00,EDT,74,23.33333333,0.291,0.004,17.46,0.00024,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,35.88379144,0.493247992,,,,,,,,,
Freshwater,I6,Beech,3,F17,T0,pre-flood,6/4/23,14:39,14:46,15:00,EDT,76,24.44444444,0.629,-0.002,37.74,-0.00012,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,77.27365339,-0.24570319,,,,,,,,,
Freshwater,I6,Beech,3,F17,T1,pre-flood,6/5/23,12:18,12:23,12:00,EDT,78,25.55555556,0.636,0.004,38.16,0.00024,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,77.84297675,0.48957847,,,,,,,,,
Freshwater,I6,Beech,3,F17,T2,flooded,6/6/23,14:55,15:00,15:00,EDT,82,27.77777778,0.772,-0.003,46.32,-0.00018,,TG10-01448,"Kaizad Patel, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,93.79088673,-0.364472358,,,,,,,,,
Freshwater,I6,Beech,3,F17,T3A,flooded,6/7/23,10:10,10:15,10:00,EDT,74,23.33333333,0.64,-0.001,38.4,-0.00006,no visible ponding water near tree,TG10-01448,"Kaizad Patel, Julia",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,78.91967877,-0.123311998,,,,,,,,,
Freshwater,I6,Beech,3,F17,T3B,flooded,6/7/23,15:19,15:24,15:00,EDT,79,26.11111111,0.763,0.004,45.78,0.00024,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,93.21372712,0.488669605,,,,,,,,,
Freshwater,I6,Beech,3,F17,T4,post-flood,6/8/23,12:12,12:18,12:00,EDT,77,25,0.709,-0.001,42.54,-0.00006,,TG10-01462,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,86.93948056,-0.122622681,,,,,,,,,
Freshwater,I6,Beech,3,F17,T5,post-flood,6/9/23,12:16,12:21,12:00,EDT,74,23.33333333,0.667,0,40.02,0,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,82.24910271,0,,,,,,,,,
Freshwater,H8,Beech,3,F18,T0,pre-flood,6/4/23,14:57,15:02,15:00,EDT,76,24.44444444,0.391,0.026,23.46,0.00156,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,48.03497373,3.194141476,,,,,,,,,
Freshwater,H8,Beech,3,F18,T1,pre-flood,6/5/23,12:10,12:15,12:00,EDT,78,25.55555556,0.394,0.028,23.64,0.00168,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,48.22347931,3.427049291,,,,,,,,,
Freshwater,H8,Beech,3,F18,T2,flooded,6/6/23,12:08,12:13,12:00,EDT,80,26.66666667,0.407,0.031,24.42,0.00186,,TG10-01448,"Kaizad Patel, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,49.62999797,3.780171835,,,,,,,,,
Freshwater,H8,Beech,3,F18,T3A,flooded,6/7/23,8:15,8:21,8:00,EDT,68,20,0.409,0.027,24.54,0.00162,,TG10-01448,"Kaizad Patel, Julia",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,51.00808617,3.367281972,,,,,,,,,
Freshwater,H8,Beech,3,F18,T3B,flooded,6/7/23,13:06,13:11,13:00,EDT,78,25.55555556,0.437,0.029,26.22,0.00174,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,53.48644786,3.549443909,,,,,,,,,
Freshwater,H8,Beech,3,F18,T4,post-flood,6/8/23,12:04,12:09,12:00,EDT,77,25,0.449,0.032,26.94,0.00192,,TG10-01453,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,55.0575836,3.92392578,,,,,,,,,
Freshwater,H8,Beech,3,F18,T5,post-flood,6/9/23,10:04,10:09,10:00,EDT,72,22.22222222,0.416,0.033,24.96,0.00198,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,51.49075974,4.084603537,,,,,,,,,
Freshwater,B5,Red Maple,3,F7,T0,pre-flood,6/4/23,13:17,13:22,13:00,EDT,73,22.77777778,0.355,0.004,21.3,0.00024,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,43.85794108,0.494173984,,,,,,,,,
Freshwater,B5,Red Maple,3,F7,T1,pre-flood,6/5/23,13:20,13:27,13:00,EDT,78,25.55555556,0.402,0.001,24.12,0.00006,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,49.20263625,0.122394618,,,,,,,,,
Freshwater,B5,Red Maple,3,F7,T2,flooded,6/6/23,13:39,13:44,14:00,EDT,82,27.77777778,0.458,0.006,27.48,0.00036,,TG10-01448,"Kaizad Patel, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,55.64277995,0.728944716,,,,,,,,,
Freshwater,B5,Red Maple,3,F7,T3A,flooded,6/7/23,9:44,9:50,10:00,EDT,74,23.33333333,0.363,0.004,21.78,0.00024,,TG10-01448,"Kaizad Patel, Julia",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,44.7622553,0.493247992,,,,,,,,,
Freshwater,B5,Red Maple,3,F7,T3B,flooded,6/7/23,13:46,13:51,14:00,EDT,78,25.55555556,0.449,0.005,26.94,0.0003,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,54.95518327,0.611973088,,,,,,,,,
Freshwater,B5,Red Maple,3,F7,T4,post-flood,6/8/23,12:36,12:41,13:00,EDT,78,25.55555556,0.429,0.004,25.74,0.00024,,TG10-01454,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,52.50729092,0.48957847,,,,,,,,,
Freshwater,B5,Red Maple,3,F7,T5,post-flood,6/9/23,11:11,11:16,11:00,EDT,74,23.33333333,0.346,0.004,20.76,0.00024,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,42.66595133,0.493247992,,,,,,,,,
Freshwater,B4,Red Maple,3,F8,T0,pre-flood,6/4/23,12:41,12:46,13:00,EDT,73,22.77777778,0.199,0.021,11.94,0.00126,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,24.5851557,2.594413416,,,,,,,,,
Freshwater,B4,Red Maple,3,F8,T1,pre-flood,6/5/23,13:38,13:44,14:00,EDT,80,26.66666667,0.236,0.021,14.16,0.00126,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,28.77808236,2.560761566,,,,,,,,,
Freshwater,B4,Red Maple,3,F8,T2,flooded,6/6/23,13:20,13:25,13:00,EDT,82,27.77777778,0.254,0.022,15.24,0.00132,,TG10-01448,"Kaizad Patel, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,30.85865962,2.67279729,,,,,,,,,
Freshwater,B4,Red Maple,3,F8,T3A,flooded,6/7/23,10:01,10:06,10:00,EDT,74,23.33333333,0.213,0.019,12.78,0.00114,,TG10-01448,"Kaizad Patel, Julia",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,26.26545559,2.342927963,,,,,,,,,
Freshwater,B4,Red Maple,3,F8,T3B,flooded,6/7/23,13:38,13:43,14:00,EDT,78,25.55555556,0.27,0.021,16.2,0.00126,,TG10-01448,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,33.04654673,2.570286968,,,,,,,,,
Freshwater,B4,Red Maple,3,F8,T4,post-flood,6/8/23,12:43,12:47,13:00,EDT,78,25.55555556,0.279,0.022,16.74,0.00132,,TG10-01463,Kaizad Patel,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,34.14809829,2.692681586,,,,,,,,,
Freshwater,B4,Red Maple,3,F8,T5,post-flood,6/9/23,11:03,11:08,11:00,EDT,74,23.33333333,0.23,0.02,13.8,0.0012,,TG10-01448,"Kaizad Patel, Cooper Norris",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,28.36175956,2.466239961,,,,,,,,,
Estuarine,A2,Beech,3,S13,T0,pre-flood,6/4/23,13:47,13:54,14:00,EDT,75,23.88888889,0.676,-0.02,40.56,-0.0012,,TG10-01028,Nick W,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,83.20300348,-2.461627322,,,,,,,,,
Estuarine,A2,Beech,3,S13,T1,pre-flood,6/5/23,12:41,12:46,13:00,EDT,78,25.55555556,0.829,0.002,49.74,0.00012,,TG10-01028,Nick W,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,101.4651379,0.244789235,,,,,,,,,
Estuarine,A2,Beech,3,S13,T2,flooded,6/6/23,12:18,12:23,12:00,EDT,80,26.66666667,0.72,0.003,43.2,0.00018,fully flooded,TG10-01028,Nick W,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,87.7975394,0.365823081,,,,,,,,,
