Date,Plot,plot_ID,stem_ID,Leaf Collection Time,A,gs,Ci,water_potential,water potential time
6/13/23,Control,C,15,8:07,2.65,0.030,252,0.93,
6/13/23,Control,C,14,8:08,1.45,0.030,306,1.23,
6/13/23,Control,C,13,8:09,2.03,0.030,260,0.98,
6/13/23,Control,C,18,8:12,2.40,0.030,264,1.06,
6/13/23,Control,C,17,8:13,2.30,0.030,256,0.96,
6/13/23,Control,C,16,8:14,2.80,0.040,274,0.87,
6/13/23,Control,C,15,8:35,4.01,0.060,280,0.86,
6/13/23,Control,C,14,8:34,1.70,0.020,271,1.56,
6/13/23,Control,C,13,8:34,1.02,0.020,296,0.72,
6/13/23,Control,C,17,8:36,2.14,0.030,272,0.67,
6/13/23,Control,C,16,8:38,2.40,0.040,286,1.03,
6/13/23,Control,C,18,8:40,2.00,0.030,295,0.98,
6/13/23,Salt,S,14,8:15,1.80,0.026,278,,
6/13/23,Salt,S,17,8:16,1.80,0.050,330,,
6/13/23,Salt,S,16,8:21,1.20,0.021,292,,
6/13/23,Salt,S,13,8:25,1.37,0.024,296,,
6/13/23,Salt,S,18,8:27,0.70,0.024,343,,
6/13/23,Salt,S,15,8:28,0.70,0.030,350,,
6/13/23,Salt,S,14,8:33,1.57,0.050,338,,
6/13/23,Salt,S,15,8:37,1.40,0.035,326,,
6/13/23,Salt,S,16,8:43,3.50,0.058,289,,
6/13/23,Salt,S,13,8:48,1.78,0.041,319,,
6/13/23,Salt,S,18,9:01,1.40,0.025,310,,
6/13/23,Salt,S,17,9:07,0.24,0.036,375,,
6/13/23,Salt,S,14,9:29,2.80,0.058,307,,
6/13/23,Salt,S,18,9:34,2.48,0.035,275,,
6/13/23,Salt,S,17,9:40,2.80,0.060,309,,
6/13/23,Salt,S,15,9:46,1.35,0.046,325,,
6/13/23,Salt,S,16,9:52,5.70,0.080,271,,
6/13/23,Salt,S,13,9:57,1.70,0.028,291,,
6/13/23,Salt,S,14,10:01,3.16,0.062,302,,
6/13/23,Salt,S,15,10:05,1.55,0.030,299,,
6/13/23,Salt,S,16,10:09,1.45,0.023,293,,
6/13/23,Salt,S,14,10:12,2.09,0.039,298,,
6/13/23,Salt,S,13,10:15,1.90,0.027,280,,
6/13/23,Salt,S,18,10:18,2.80,0.040,275,,
6/13/23,Salt,S,18,10:25,1.45,0.026,293,,
6/13/23,Salt,S,17,10:28,1.97,0.026,273,,
6/13/23,Salt,S,14,10:31,1.40,0.020,299,,
6/13/23,Salt,S,13,10:36,1.32,0.015,268,,
6/13/23,Salt,S,15,10:39,0.75,0.030,294,,
6/13/23,Salt,S,16,10:42,1.01,0.014,280,,
6/13/23,Salt,S,16,10:46,3.86,0.041,231,,
6/13/23,Salt,S,17,10:50,2.94,0.030,258,,
6/13/23,Control,C,15,9:02,4.30,0.070,281,0.72,WPT = 1027
6/13/23,Control,C,13,9:04,1.70,0.020,248,0.68,NPT = 1024
6/13/23,Control,C,14,9:05,2.38,0.050,305,1.03,NPT = 1022
6/13/23,Control,C,17,9.06,1.40,0.020,285,0.56,NPT = 1020
6/13/23,Control,C,16,9:07,1.48,0.030,292,1.10,UPT = 1017
6/13/23,Control,C,18,9:08,1.83,0.020,258,1.16,UPT = 1015
6/13/23,Control,C,18,9:30,2.43,0.040,284,0.95,UPT = 101
6/13/23,Control,C,17,9:32,2.59,0.040,278,1.30,NPT = 1009
6/13/23,Control,C,16,9:33,1.10,0.030,313,1.33,NPT = 1005
6/13/23,Control,C,13,9:35,1.52,0.030,288,1.53,NPT = 954
6/13/23,Control,C,14,9:36,1.70,0.030,295,1.60,NPT = 1002
6/13/23,Control,C,15,9:37,2.98,0.050,290,1.88,NPT : 958
6/13/23,Control,C,13,9:59,2.75,0.060,305,1.21,WPT = 1121
6/13/23,Control,C,14,10:00,1.35,0.030,324,1.84,NPT = 1110
6/13/23,Control,C,17,10:02,1.43,0.030,247,1.18,WPT = 1113
6/13/23,Control,C,18,10:03,1.22,0.030,316,0.82,WPT = 1116
6/13/23,Control,C,15,10107,3.02,0.050,395,1.27,WPT = 1118
6/13/23,Control,C,16,10:05,0.87,0.020,323,1.48,WPT = 1108
6/13/23,Control,C,18,10131,1.72,0.040,308,1.11,WPT = 1104
6/13/23,Control,C,17,10:32,2.38,0.030,253,0.89,UPT = 1101
6/13/23,Control,C,15,10:35,1.75,0.030,303,1.01,UPT = 1059
6/13/23,Control,C,13,10:36,2.65,0.040,279,0.99,NPT = 1056
6/13/23,Control,C,14,10:37,1.46,0.030,317,1.52,UPT = 1037
6/13/23,Control,C,16,10:34,0.19,0.020,372,1.20,WPT = 12:27
6/13/23,Control,C,14,11:01,1.93,0.030,280,1.47,NPT: 1229
6/13/23,Control,C,13,11:03,1.63,0.020,271,1.61,WPT = 1239
6/13/23,Control,C,15,11:04,1.70,0.030,295,1.77,WPT = 124 1
6/13/23,Control,C,17,11:05,0.90,0.030,344,1.32,UPT = 1245
6/13/23,Control,C,18,11:06,1.04,0.020,315,0.89,NPT = 1243
6/13/23,Control,C,16,11:16,3.86,0.040,255,1.34,WPT = 1247
6/13/23,Control,C,13,11:31,1.29,0.020,287,1.64,NPT = 1214
6/13/23,Control,C,14,11:32,1.35,0.020,278,1.48,NPT = 2218
6/13/23,Control,C,17,11:34,1.24,0.020,297,0.97,UPT = 1220
6/13/23,Control,C,16,11:36,1.63,0.020,275,0.99,INPT = 1221
6/13/23,Control,C,18,11:39,2.32,0.050,301,1.12,PT = 1223
6/13/23,Control,C,15,11:43,3.64,0.050,275,1.00,WPT = 1225
6/13/23,Control,C,18,13:00,2.04,0.030,281,,
6/13/23,Control,C,13,13:04,1.72,0.030,287,1.55,
6/13/23,Control,C,14,13:07,1.94,0.040,293,1.45,
6/13/23,Control,C,15,13:09,2.09,0.030,280,1.40,
6/13/23,Control,C,16,13:11,2.96,0.050,291,1.35,
6/13/23,Control,C,17,13:16,1.91,0.030,277,1.65,
6/13/23,Control,C,13,13:31,1.55,0.020,281,1.30,
6/13/23,Control,C,14,13:33,2.01,0.040,298,1.28,
6/13/23,Control,C,15,13:35,2.42,0.040,200,1.18,
6/13/23,Control,C,17,13:36,1.90,0.020,255,1.35,
6/13/23,Control,C,18,13:38,1.60,0.030,306,1.50,
6/13/23,Control,C,16,13:41,1.24,0.020,293,1.50,
6/13/23,Fresh,F,18,3:00,,,,1.15,
6/13/23,Fresh,F,15,3:02,,,,,
6/13/23,Control,C,18,11:58,1.40,0.030,298,1.61,
6/13/23,Control,C,16,11:59,3.01,0.040,255,1.83,
6/13/23,Control,C,15,12:04,0.58,0.030,335,1.28,
6/13/23,Control,C,17,12:05,0.84,0.020,304,1.33,
6/13/23,Control,C,13,12:13,2.71,0.050,292,1.31,
6/13/23,Control,C,14,12:14,2.01,0.030,275,1.30,
6/13/23,Control,C,17,12:31,2.49,0.040,270,1.30,
6/13/23,Control,C,16,12:31,2.06,0.030,289,1.10,
6/13/23,Control,C,13,12:38,2.46,0.040,287,1.13,
6/13/23,Control,C,14,12:39,1.45,0.030,311,1.30,
6/13/23,Control,C,18,12:44,1.48,0.030,304,1.25,
6/13/23,Control,C,15,12:45,2.18,0.030,271,1.36,
6/13/23,Control,C,15,14:09,2.95,0.050,298,1.57,
6/13/23,Control,C,13,14:12,2.56,0.050,290,1.55,
6/13/23,Control,C,17,14:15,3.33,0.060,294,1.15,
6/13/23,Control,C,14,14:17,1.95,0.030,274,1.25,
6/13/23,Control,C,18,14:22,2.10,0.030,267,1.10,
6/13/23,Control,C,16,14:25,3.22,0.050,275,1.25,
6/13/23,Control,C,13,14:36,2.25,0.040,288,1.20,
6/13/23,Control,C,14,14:38,2.81,0.050,294,1.05,
6/13/23,Control,C,15,14:41,1.65,0.050,330,0.95,
6/13/23,Control,C,17,14:43,2.75,0.050,294,1.20,
6/13/23,Control,C,16,14:46,2.45,0.040,288,1.10,
6/13/23,Control,C,18,14:54,2.00,0.050,312,0.97,
6/13/23,Control,C,15,15:09,1.94,0.040,310,1.27,
6/13/23,Control,C,16,15:11,3.30,0.060,289,1.26,
6/13/23,Control,C,17,15:14,4.56,0.070,275,1.38,
6/13/23,Control,C,14,15:16,2.58,0.050,296,1.45,
6/13/23,Control,C,13,15:18,2.80,0.040,219,1.23,
6/13/23,Control,C,18,15:21,2.82,0.060,305,1.38,
6/13/23,Control,C,17,15:36,2.73,0.050,297,1.19,
6/13/23,Control,C,16,15:38,3.45,0.060,293,1.45,
6/13/23,Control,C,18,15:42,2.02,0.040,289,1.28,
6/13/23,Control,C,15,15:44,1.33,0.030,300,1.06,
6/13/23,Control,C,13,15:47,1.93,0.040,294,1.28,
6/13/23,Control,C,14,15:49,1.57,0.040,324,1.29,
6/13/23,Salt,S,14,8:16,1.80,0.026,278,,
6/13/23,Salt,S,17,8:16,1.80,0.050,330,,
6/13/23,Salt,S,16,8:21,1.20,0.021,292,,
6/13/23,Salt,S,13,8:25,1.37,0.024,296,,
6/13/23,Salt,S,18,8:27,0.70,0.024,343,,
6/13/23,Salt,S,15,8:28,0.70,0.030,350,,
6/13/23,Salt,S,14,8:33,1.57,0.050,338,,
6/13/23,Salt,S,15,8:37,1.40,0.035,326,,
6/13/23,Salt,S,16,8:43,3.50,0.058,289,,
6/13/23,Salt,S,13,8:48,1.78,0.041,319,,
6/13/23,Salt,S,18,9:01,1.40,0.025,310,,
6/13/23,Salt,S,17,9:07,0.24,0.036,375,,
6/13/23,Salt,S,14,9:29,2.80,0.058,307,,
6/13/23,Salt,S,18,9:34,2.48,0.035,275,,
6/13/23,Salt,S,17,9:40,2.80,0.060,309,,
6/13/23,Salt,S,15,9:46,1.35,0.046,325,,
6/13/23,Salt,S,16,9:52,5.70,0.080,271,,
6/13/23,Salt,S,13,9:57,1.70,0.028,291,,
6/13/23,Salt,S,14,10:01,3.16,0.062,302,,
6/13/23,Salt,S,15,10:05,1.55,0.030,299,,
6/13/23,Salt,S,16,10:09,1.45,0.023,293,,
6/13/23,Salt,S,14,10:12,2.09,0.039,298,,
6/13/23,Salt,S,13,10:15,1.90,0.027,280,,
6/13/23,Salt,S,18,10:18,2.80,0.040,275,,
6/13/23,Salt,S,18,10:25,1.45,0.026,298,,
6/13/23,Salt,S,17,10:28,1.97,0.026,273,,
6/13/23,Salt,S,14,10:31,1.40,0.020,299,,
6/13/23,Salt,S,13,10:36,1.32,0.015,268,,
6/13/23,Salt,S,15,10:39,0.75,0.013,294,,
6/13/23,Salt,S,18,10:42,1.01,0.014,280,,
6/13/23,Salt,S,16,10:46,3.86,0.041,231,,
6/13/23,Salt,S,17,10:50,2.94,0.030,258,,
6/13/23,Salt,S,14,10:58,1.29,0.018,284,,
6/13/23,Salt,S,18,11:01,2.00,0.027,270,,
6/13/23,Salt,S,15,11:05,1.00,0.014,279,,
6/13/23,Salt,S,13,11:08,0.38,0.009,323,,
6/13/23,Salt,S,14,11:14,1.86,0.020,241,,
6/13/23,Salt,S,13,11:20,0.22,0.006,322,,
6/13/23,Salt,S,15,11:23,1.10,0.014,268,,
6/13/23,Salt,S,16,11:28,4.07,0.044,232,,
6/13/23,Salt,S,17,11:31,2.37,0.024,227,,
6/13/23,Salt,S,18,11:36,1.60,0.020,260,,
6/13/23,Salt,S,13,11:42,2.30,0.027,251,,
6/13/23,Salt,S,14,11:46,2.37,0.031,266,,
6/13/23,Salt,S,15,11:49,1.10,0.012,245,,
6/13/23,Salt,S,16,11:53,3.00,0.030,241,,
6/13/23,Salt,S,17,11:56,0.63,0.012,308,,
6/13/23,Salt,S,18,12:00,1.30,0.015,260,,
6/13/23,Salt,S,13,12:11,1.50,0.021,268,,
6/13/23,Salt,S,14,12:15,2.90,0.030,250,,
6/13/23,Salt,S,15,12:19,2.20,0.034,279,,
6/13/23,Salt,S,16,12:23,2.85,0.043,275,,
6/13/23,Salt,S,17,12:28,0.98,0.017,292,,
6/13/23,Salt,S,18,12:32,1.15,0.018,285,,
6/13/23,Salt,S,13,12:39,0.79,0.012,290,,
6/13/23,Salt,S,14,12:43,2.00,0.030,290,,
6/13/23,Salt,S,15,12:46,1.85,0.025,267,,
6/13/23,Salt,S,16,12:51,2.72,0.031,247,,
6/13/23,Salt,S,17,12:54,1.10,0.017,268,,
6/13/23,Salt,S,18,12:59,2.00,0.023,245,,
6/13/23,Salt,S,18,13:44,1.05,0.020,319,,
6/13/23,Salt,S,14,13:47,2.11,0.030,292,,
6/13/23,Salt,S,17,13:50,1.76,0.030,294,,
6/13/23,Salt,S,16,14:03,1.70,0.021,267,,
6/13/23,Salt,S,13,14:07,1.26,0.016,261,,
6/13/23,Salt,S,15,14:11,1.40,0.019,273,,
6/13/23,Salt,S,14,14:15,2.50,0.033,261,,
6/13/23,Salt,S,17,14:19,0.98,0.020,316,,
6/13/23,Salt,S,18,14:23,0.95,0.020,312,,
6/13/23,Salt,S,13,14:28,1.52,0.025,284,,
6/13/23,Salt,S,16,14:37,2.50,0.030,245,,
6/13/23,Salt,S,15,14:41,1.70,0.021,255,,
6/13/23,Salt,S,14,14:46,1.70,0.035,305,,
6/13/23,Salt,S,15,14:49,2.00,0.030,277,,
6/13/23,Salt,S,17,14:53,1.70,0.020,249,,
6/13/23,Salt,S,16,14:57,2.80,0.040,280,,
6/13/23,Salt,S,18,15:02,1.20,0.019,287,,
6/13/23,Salt,S,13,15:06,1.30,0.021,290,,
6/13/23,Salt,S,14,15:20,1.79,0.020,247,,
6/13/23,Salt,S,17,15:24,1.58,0.024,280,,
6/13/23,Salt,S,13,15:28,1.90,0.033,293,,
6/13/23,Salt,S,18,15:31,0.86,0.011,268,,
6/13/23,Salt,S,15,15:36,1.76,0.017,224,,
6/13/23,Salt,S,16,15:40,2.00,0.028,268,,
6/13/23,Fresh,F,15,8:04,1.51,0.025,384,,
6/13/23,Fresh,F,13,8:07,1.60,0.020,289,,
6/13/23,Fresh,F,14,8:09,1.02,0.020,320,,
6/13/23,Fresh,F,18,8:12,1.19,0.020,314,,
6/13/23,Fresh,F,17,8:15,1.50,0.030,308,,
6/13/23,Fresh,F,16,8:16,2.18,0.040,300,,
6/13/23,Fresh,F,15,8:23,1.19,0.010,282,,
6/13/23,Fresh,F,13,8:26,1.72,0.020,294,,
6/13/23,Fresh,F,14,8:30,1.45,0.020,299,,
6/13/23,Fresh,F,18,8:34,2.20,0.030,275,,
6/13/23,Fresh,F,16,8:42,2.58,0.030,262,,
6/13/23,Fresh,F,17,8:46,1.35,0.020,310,,
6/13/23,Fresh,F,15,9:06,1.84,0.020,273,,
6/13/23,Fresh,F,13,9:09,3.05,0.030,262,,
6/13/23,Fresh,F,14,9:14,3.17,0.040,268,,
6/13/23,Fresh,F,16,9:18,2.15,0.030,273,,
6/13/23,Fresh,F,18,9:22,2.68,0.050,311,,
6/13/23,Fresh,F,17,9:27,2.54,0.030,261,,
6/13/23,Fresh,F,15,9:34,3.11,0.050,298,,
6/13/23,Fresh,F,13,9:37,4.43,0.050,259,,
6/13/23,Fresh,F,14,9:40,2.56,0.030,270,,
6/13/23,Fresh,F,16,9:45,2.54,0.030,260,,
6/13/23,Fresh,F,17,9:49,4.18,0.040,241,,
6/13/23,Fresh,F,18,9:53,3.32,0.040,271,,
6/13/23,Fresh,F,15,10:02,3.03,0.040,281,,
6/13/23,Fresh,F,13,10:05,3.41,0.030,243,,
6/13/23,Fresh,F,14,10:10,2.99,0.030,247,,
6/13/23,Fresh,F,16,10:16,2.57,0.030,278,,
6/13/23,Fresh,F,17,10:20,4.89,0.050,248,,
6/13/23,Fresh,F,18,10:24,2.69,0.030,261,,
6/13/23,Fresh,F,15,10:36,2.66,0.030,274,,
6/13/23,Fresh,F,13,10:40,2.10,0.020,241,,
6/13/23,Fresh,F,14,10:47,2.64,0.030,276,,
6/13/23,Fresh,F,16,10:52,3.81,0.040,264,,
6/13/23,Fresh,F,17,10:56,3.12,0.030,225,,
6/13/23,Fresh,F,18,11:00,2.27,0.030,278,,
6/13/23,Fresh,F,15,11:27,2.07,0.020,273,,
6/13/23,Fresh,F,13,11:31,1.75,0.020,257,,
6/13/23,Fresh,F,14,11:34,4.35,0.040,232,,
6/13/23,Fresh,F,16,11:38,2.12,0.020,249,,
6/13/23,Fresh,F,17,11:41,4.40,0.040,230,,
6/13/23,Fresh,F,18,11:45,2.28,0.020,245,,
6/13/23,Fresh,F,15,12:01,2.66,0.030,275,,
6/13/23,Fresh,F,13,12:04,2.13,0.020,262,,
6/13/23,Fresh,F,14,12:07,3.93,0.050,259,,
6/13/23,Fresh,F,16,12:11,2.01,0.020,259,,
6/13/23,Fresh,F,17,12:14,2.53,0.030,254,,
6/13/23,Fresh,F,18,12:19,2.41,0.030,261,,
6/13/23,Fresh,F,15,12:38,3.07,0.030,238,,
6/13/23,Fresh,F,13,12:41,1.92,0.020,247,,
6/13/23,Fresh,F,14,12:44,3.54,0.040,258,,
6/13/23,Fresh,F,16,12:49,1.52,0.010,246,,
6/13/23,Fresh,F,17,12:53,3.51,0.040,245,,
6/13/23,Fresh,F,18,12:56,2.97,0.030,257,,
6/13/23,Fresh,F,15,13:14,2.27,0.020,220,,
6/13/23,Fresh,F,13,13:17,2.18,0.030,280,,
6/13/23,Fresh,F,14,13:19,1.97,0.030,300,,
6/13/23,Fresh,F,16,13:23,1.85,0.020,256,,
6/13/23,Fresh,F,17,13:26,2.70,0.020,236,,
6/13/23,Fresh,F,18,13:29,2.93,0.030,229,,
6/13/23,Fresh,F,15,13:45,1.94,0.020,261,,
6/13/23,Fresh,F,13,13:48,1.70,0.020,260,,
6/13/23,Fresh,F,14,13:51,2.82,0.030,239,,
6/13/23,Fresh,F,16,13:55,2.30,0.02,252,,
6/13/23,Fresh,F,17,14:01,3.61,0.030,230,,
6/13/23,Fresh,F,18,14:06,1.66,0.010,259,,
6/13/23,Fresh,F,15,14:26,2.65,0.030,246,,
6/13/23,Fresh,F,13,14:28,3.48,0.040,259,,
6/13/23,Fresh,F,14,14:30,1.43,0.010,273,,
6/13/23,Fresh,F,17,14:20,1.40,0.010,274,,
6/13/23,Fresh,F,18,14:35,1.38,0.010,260,,
6/13/23,Fresh,F,16,14:36,3.03,0.040,267,,
6/13/23,Fresh,F,15,14:57,2.95,0.030,244,,
6/13/23,Fresh,F,14,14:58,2.15,0.040,297,,
6/13/23,Fresh,F,13,15:00,2.59,0.040,285,,
6/13/23,Fresh,F,18,15:02,2.60,0.030,249,,
6/13/23,Fresh,F,17,15:04,3.60,0.040,251,,
6/13/23,Fresh,F,16,15:05,1.63,0.010,256,,
6/13/23,Fresh,F,15,15:19,2.32,0.020,255,,
6/13/23,Fresh,F,13,15:23,1.52,0.020,273,,
6/13/23,Fresh,F,14,15:25,2.51,0.040,288,,
6/13/23,Fresh,F,18,15:27,2.61,0.030,265,,
6/13/23,Fresh,F,17,15:29,2.46,0.030,279,,
6/13/23,Fresh,F,16,15:31,1.59,0.020,266,,